                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 2.1888,                 1.5172,                 2.3796,                0.58083,                0.47887,                0.52321,                0.19971,                  2.262,                 1.8665,                 2.4381,             0.00072411,             0.00072411,             0.00072411
                     50,                 2.2989,                 1.4948,                 2.3799,                0.58083,                0.47887,                0.52321,                0.19971,                  2.262,                 1.8665,                 2.4381,             0.00073758,             0.00073758,             0.00073758
                     51,                 2.5242,                 1.5246,                 2.3383,                 0.5309,                0.58639,                0.54822,                0.20396,                 2.2849,                 1.8453,                 2.4137,             0.00075098,             0.00075098,             0.00075098
                     52,                  2.233,                 1.5183,                 2.3464,                 0.5309,                0.58639,                0.54822,                0.20396,                 2.2849,                 1.8453,                 2.4137,             0.00076432,             0.00076432,             0.00076432
                     53,                 2.3078,                 1.5544,                 2.3626,                 0.5309,                0.58639,                0.54822,                0.20396,                 2.2849,                 1.8453,                 2.4137,             0.00077759,             0.00077759,             0.00077759
                     54,                 2.2086,                  1.662,                 2.3958,                0.54259,                0.65912,                0.55738,                 0.2312,                 2.1793,                 1.8075,                  2.358,             0.00079079,             0.00079079,             0.00079079
                     55,                 2.0871,                 1.3433,                 2.2203,                0.54259,                0.65912,                0.55738,                 0.2312,                 2.1793,                 1.8075,                  2.358,             0.00080393,             0.00080393,             0.00080393
                     56,                 2.1296,                 1.5364,                  2.349,                0.54259,                0.65912,                0.55738,                 0.2312,                 2.1793,                 1.8075,                  2.358,             0.00081701,             0.00081701,             0.00081701
                     57,                 2.2147,                 1.4828,                 2.2926,                0.55458,                0.69686,                0.52316,                0.20996,                 2.1789,                 1.8757,                 2.3897,             0.00083001,             0.00083001,             0.00083001
                     58,                 2.1368,                 1.4839,                 2.2934,                0.55458,                0.69686,                0.52316,                0.20996,                 2.1789,                 1.8757,                 2.3897,             0.00084295,             0.00084295,             0.00084295
                     59,                 2.1007,                 1.5185,                 2.2759,                0.55458,                0.69686,                0.52316,                0.20996,                 2.1789,                 1.8757,                 2.3897,             0.00085583,             0.00085583,             0.00085583
                     60,                 2.0951,                 1.4476,                 2.2206,                 0.5597,                0.78742,                 0.5357,                0.23548,                 2.1115,                  1.845,                 2.3549,             0.00086863,             0.00086863,             0.00086863
                     61,                  2.052,                 1.4417,                 2.3011,                 0.5597,                0.78742,                 0.5357,                0.23548,                 2.1115,                  1.845,                 2.3549,             0.00088138,             0.00088138,             0.00088138
                     62,                 2.2137,                 1.5559,                 2.3653,                 0.5597,                0.78742,                 0.5357,                0.23548,                 2.1115,                  1.845,                 2.3549,             0.00089405,             0.00089405,             0.00089405
                     63,                  2.063,                 1.5907,                 2.3273,                0.55495,                0.75447,                0.53793,                0.25499,                  2.057,                 1.7125,                 2.2846,             0.00090666,             0.00090666,             0.00090666
                     64,                 2.1089,                  1.534,                 2.3057,                0.55495,                0.75447,                0.53793,                0.25499,                  2.057,                 1.7125,                 2.2846,             0.00091921,             0.00091921,             0.00091921
                     65,                 2.1279,                 1.5414,                 2.3313,                0.55495,                0.75447,                0.53793,                0.25499,                  2.057,                 1.7125,                 2.2846,             0.00093168,             0.00093168,             0.00093168
                     66,                 2.2656,                 1.4291,                 2.3002,                0.50856,                0.67736,                0.53805,                0.25505,                 2.0112,                 1.5937,                 2.2575,              0.0009441,              0.0009441,              0.0009441
                     67,                 2.1298,                   1.45,                 2.2935,                0.50856,                0.67736,                0.53805,                0.25505,                 2.0112,                 1.5937,                 2.2575,             0.00095644,             0.00095644,             0.00095644
                     68,                  2.073,                 1.4983,                 2.3127,                0.50856,                0.67736,                0.53805,                0.25505,                 2.0112,                 1.5937,                 2.2575,             0.00096872,             0.00096872,             0.00096872
                     69,                 2.0889,                 1.4396,                  2.245,                0.53277,                0.64403,                0.58273,                0.26292,                 1.9875,                 1.5462,                 2.2304,             0.00098094,             0.00098094,             0.00098094
